start_time	end_time	label
0.0	0.185	Tool
0.29	0.51	Module
1.339	1.509	Module
1.709	2.359	Module
2.419	2.829	Tool
2.868	3.138	Tool
3.368	3.958	Tool
4.637	5.407	Tool
5.577	6.097	Tool
6.176	6.606	Module
6.896	7.106	Module
7.196	7.996	Module
8.065	9.524	Module
9.575	9.755	Module
9.804	10.943	Module
11.034	11.424	Tool
11.563	13.722	Module
13.762	13.982	Module
14.092	14.882	Tool
14.921	15.271	Module
15.301	15.491	Module
15.511	15.801	Module
15.821	16.291	Module
16.351	16.831	Module
16.86	19.039	Module
19.059	20.138	Tool
20.278	21.727	Module
21.748	22.538	Module
22.567	23.397	Tool
23.417	24.516	Tool
24.566	26.095	Tool
26.235	26.415	Module
26.465	26.615	Module
26.655	27.255	Tool
27.274	27.574	Module
27.594	28.154	Module
28.264	29.054	Module
29.073	29.273	Module
29.303	29.893	Tool
29.913	30.753	Module
30.792	31.152	Tool
31.182	31.472	Tool
31.502	31.982	Module
31.992	32.262	Tool
32.381	33.31	Module
33.351	33.941	Module
33.971	34.381	Module
34.4	34.68	Module
34.71	35.1	Module
35.12	35.34	Module
35.43	35.7	Module
35.72	36.37	Module
36.499	36.759	Module
36.769	37.079	Module
37.109	37.609	Module
37.638	37.828	Module
37.968	38.288	Module
38.308	40.077	Module
40.087	41.076	Module
41.096	41.866	Module
41.896	42.146	Module
42.176	42.806	Module
42.985	43.215	Module
43.245	43.465	Module
43.505	44.295	Module
44.325	45.274	Module
45.314	45.534	Module
45.574	45.784	Tool
45.824	47.023	Tool
47.053	50.111	Module
50.161	50.551	Module
50.601	51.021	Module
51.051	51.261	Module
51.301	51.551	Module
51.6	52.11	Tool
52.15	54.858	Module
54.989	55.209	Module
55.238	55.408	Module
55.448	55.938	Module
55.958	56.368	Module
56.388	56.898	Module
56.927	57.407	Module
57.437	57.747	Module
57.787	57.967	Module
58.017	58.347	Module
58.367	59.217	Tool
59.256	59.576	Module
59.606	59.836	Module
59.946	60.156	Module
60.176	60.336	Module
60.345	60.575	Module
60.625	60.775	Module
60.805	60.975	Module
61.015	61.215	Module
61.365	61.505	Module
61.515	61.735	Module
61.785	61.925	Module
61.964	62.124	Module
62.134	62.354	Module
62.404	62.734	Module
62.904	63.554	Module
63.584	64.533	Module
64.563	64.743	Module
64.773	65.263	Module
65.313	65.983	Module
66.022	66.202	Module
66.242	66.792	Tool
66.972	67.082	Tool
67.231	67.571	Tool
67.611	68.071	Module
68.101	68.361	Module
68.401	68.521	Module
68.561	69.131	Tool
69.18	69.93	Module
69.95	71.459	Module
71.489	72.538	Module
72.548	72.778	Module
72.818	73.158	Module
73.208	73.728	Module
73.768	74.957	Module
74.977	75.427	Module
75.457	75.887	Module
75.976	76.446	Module
76.486	76.716	Module
76.736	76.866	Module
76.906	77.456	Tool
77.496	77.666	Module
78.015	78.155	Module
78.205	78.505	Module
78.625	79.235	Module
79.245	79.895	Tool
79.924	80.504	Module
80.514	80.844	Module
80.864	81.324	Module
81.353	81.573	BG
81.613	81.733	Tool
81.833	82.033	Module
82.063	82.353	Tool
82.383	82.883	Module
82.912	83.742	Module
83.782	84.302	Tool
84.322	84.812	Tool
84.831	85.561	Module
85.591	85.961	Tool
85.991	87.24	Tool
87.28	87.61	Module
87.65	87.86	Module
87.98	88.09	Module
88.119	88.399	Module
88.409	88.739	Module
88.899	89.079	Module
89.089	89.449	Module
89.489	89.809	Module
89.829	90.309	Module
90.328	90.898	Module
91.058	91.388	Module
91.428	91.618	Tool
91.647	92.027	Tool
92.057	92.737	Module
92.887	93.037	Module
93.057	93.217	Module
93.466	95.005	Module
95.056	95.576	Tool
95.605	95.895	Tool
95.925	96.585	Module
96.615	96.855	Module
96.894	97.324	Module
97.504	97.884	Module
97.924	98.104	Module
98.134	98.274	Module
98.314	99.953	Module
99.983	101.142	Tool
101.162	101.302	Module
101.342	101.952	Tool
101.982	102.522	Module
102.751	102.941	Module
102.961	103.141	Tool
103.181	103.531	Module
103.571	104.051	Tool
104.08	105.109	Tool
105.12	105.51	Module
105.549	105.799	Tool
105.849	107.268	Tool
107.308	107.898	Module
107.918	108.308	Module
108.328	108.528	Module
